구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수,sylla_eng,syllabus_kr
교양선택,PHYS152,일반물리학및연습Ⅱ,1,2.0,,,,,3,3,,공과대학,화공생명공학과,물리학과,,,5,"In this course students will learn basic physics and physical methodology that are prerequisite for further studies in science and engineering at a college level. Major contents include electromagnetism, optics and modern physics with heavy use of calculu","대학에서 과학 및 공학을 공부하는 데에 필요한 물리학의 기본지식과 이에 근거한 방법론 및 과학적 사고방식을 가르치는 과목이다. 주요 내용은 전자기학, 광학 및 현대물리학이며, 미적분을 이용한 수준이다. 3시간의 강의가 있고, 1시간의 연습시간에 과제물에 대한 문제 "
교양선택,PHYS162,일반물리학실험Ⅱ,1,2.0,,,,,1,3,,공과대학,화공생명공학과,물리학과,,,5,In this course students do experiments on various topics which are covered in the accompanying lectures. The course consists of 9 laboratory sessions guided by a teaching assistant. Each class is made of 8 groups of two students each.,"일반물리학및연습 II 에서 강의 및 문제풀이로 배우는 내용을 실험을 통해서 배우는 과목이다. 주요 내용은 date분석법, Newton 역학, 파동현상, 열역학에 관한 실험이다. 한번 3시간 실험으로 진행되며, 2인 1조를 원칙으로 하고, 8개조가 한 반을 구성하여 조교 및 교수의 "
교양선택,EGRN128,기초공학가상실험Ⅱ,1,2.0,,,,,1,3,,공과대학,화공생명공학과,공과대학,,,2,"Following Basic engineering (virtual) experiment 1, in Basic engineering _x000D_
(virtual) experiment 2, various “physical phenomena” are observed, and the principle is identified   using   the basic knowledge   of_x000D_
mathematics/scienceand physics._x000D_
The goal o","기초공학(가상)실험 1에 이어 기초공학(가상)실험 2에서는 여러 가지 “물 _x000D_
리적 현상”을 관찰하고, 그 원리를 수학/과학의 기초 지식을 이용하여 규 _x000D_
명하고, 실험으로부터 배운 원리를 실생활에 응용하는 능력을 함양하는데 _x000D_
있다._x000D_
이를 통하여 상급반(2학년 이상)에 "
교양선택,CHEM151,일반화학및연습Ⅰ,1,1.0,,,,,3,3,,공과대학,화공생명공학과,화학과,,,5,"It discuss the basic conecept and theories of chemistry related to the scientific areas. It introduces the application of chemistry by teaching and practice. It also introduces the applied fields of chemistry such as environmental chemistry, biochemistry,","이공계 분야들에 관련된 화학에 관한 기본개념과 이론들을 강의와 연습을 통해 토의하고, 응용분야들인 환경화학이나 생물화학 및 공업화학 등을 소개 한다"
교양선택,CHEM153,일반화학실험Ⅰ,1,1.0,,,,,1,3,,공과대학,화공생명공학과,화학과,,,5,The purpose of this laboratory is to provide the student with easy-to-grasp examples of the concepts presented in General Chemistry. Experiments expose students to basic laboratory skills and demonstrate the principles of chemistry by experimental data,"일반화학 강의에서 다룬 내용들을 실제 실험을 통하여 화합물의 합성법을 배우고 물성을 측정한다. 또한, 화학에 관련된 실험을 수행하는데 필요한 기본 테크닉들을 익힌다."
교양선택,EGRN129,기초공학가상실험Ⅲ,1,1.0,,,,,1,3,,공과대학,화공생명공학과,공과대학,,,2,"In  Basic  engineering  (virtual)  experiment  3,  various  “chemical _x000D_
phenomena” are observed, and the principles are identified using the _x000D_
basic knowledge of mathematics and chemistry._x000D_
The goal of the subject is to develop the ability to apply the ","기초공학(가상)실험 1에 이어 기초공학(가상)실험 3에서는 여러 가지 “화 _x000D_
학적 현상”을 관찰하고, 그 원리를 수학/과학의 기초 지식을 이용하여 규 _x000D_
명하고, 실험으로부터 배운 원리를 실생활에 응용하는 능력을 함양하는데 _x000D_
있다._x000D_
이를 통하여 상급반(2학년 이상)에 "
교양선택,CHEM152,일반화학및연습Ⅱ,1,2.0,,,,,3,3,,공과대학,화공생명공학과,화학과,,,5,"It discuss the basic conecept and theories of chemistry related to the scientific areas. It introduces the application of chemistry by teaching and practice. It also introduces the applied fields of chemistry such as environmental chemistry, biochemistry,","이공계 분야들에 관련된 화학에 관한 기본개념과 이론들을 강의와 연습을 통해 토의하고, 응용분야들인 환경화학이나 생물화학 및 공업화학 등을 소개 한다"
교양선택,CHEM154,일반화학실험Ⅱ,1,2.0,,,,,1,3,,공과대학,화공생명공학과,화학과,,,5,The purpose of this laboratory is to provide the student with easy-to-grasp examples of the concepts presented in General Chemistry. Experiments expose students to basic laboratory skills and demonstrate the principles of chemistry by experimental data,"일반화학 강의에서 다룬 내용들을 실제 실험을 통하여 화합물의 합성법을 배우고 물성을 측정한다. 또한, 화학에 관련된 실험을 수행하는데 필요한 기본 테크닉들을 익힌다."
교양선택,EGRN130,기초공학가상실험Ⅳ,1,2.0,,,,,1,3,,공과대학,화공생명공학과,공과대학,,,2,"In  Basic  engineering  (virtual)  experiment  4,  various  “chemical _x000D_
phenomena” are observed, and the principles are identified using the _x000D_
basic knowledge of mathematics and chemistry._x000D_
The goal of the subject is to develop the ability to apply the ","기초공학(가상)실험 3에 이어 기초공학(가상)실험 4에서는 여러 가지 “화 _x000D_
학적 현상”을 관찰하고, 그 원리를 수학/과학의 기초 지식을 이용하여 규 _x000D_
명하고, 실험으로부터 배운 원리를 실생활에 응용하는 능력을 함양하는데 _x000D_
있다._x000D_
이를 통하여 상급반(2학년 이상)에 "
교양선택,LIBS150,생명과학,1,,,,,,3,3,,공과대학,화공생명공학과,생명과학부,,,5,"It is generally said that 21st century is the era of Life Sciences. This class offers students general introduction of all the fields of biological sciences including origin of life, cell biology, biochemistry, genetics, taxonomy, environmental biology et","21세기는 생명과학의 시대라고들 이야기한다. 이 과목은 21세기를 살아가는 현대인들이 기본적으로 알아야 할 생명의 기원, 세포학, 생화학, 유전학, 발생학, 생태 및 분류학과 같은 생명과학 분야 기본과목의 기초적인 이해에 그 목표가 있다."
교양선택,CHBE153,화공생명공학컴퓨팅및정보학입문,1,,,,,,3,4,,공과대학,화공생명공학과,화공생명공학과,,,5,"In this course, software and computational techniques are introduced for calculation, visualization and data processing in chemical and biological engineering. Students are encouraged to apply the techniques in various problems and motivated for further s","화공생명공학 여러 분야의 학습과 연구에 필요한 계산, Visualization, 자료처리 등에서 활용되는 컴퓨터 소프트웨어를 소개하며, 프로그램 작성을 위한 기본 개념을 강의한다. 실습으로 강의에서 배운 내용을 실제 적용해 보고, 고급 프로그래밍 언어와 기법을 배울 수 있는"
교양선택,EGRN241,데이터과학기초,2,,,,,,3,3,,공과대학,화공생명공학과,공과대학,,,5,"Artificial Intelligence from Machine learning can be understood by applying data science and using the concepts & tools based on mathematical backgrounds such as linear algebra, probability, statistics, multivariable calculus, information theory, and comp","인공지능은 선형 대수, 확률, 통계, 다변수 미적분, 정보이론과 컴퓨터 학습 이론에 기반하여, 다양한 수학 원리로부터 나온 개념과 도구들을 데이터 분석에 적용함으로써 이해할 수 있다. 이 강좌는 기계지능을 이해할 수 있도록 데이터과학과 기계학습을 위한 수학적 기초 "
전공필수,CHBE205,생명공학,2,2.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5," Using the principles of engineering (reaction engineering and hydrodynamics), microbiology and molecular biology, this course addresses how to _x000D_
i) remove organic contaminants, Nitrogen and Phosporous, _x000D_
ii) generate valuable resources like methane gas, ","생명공학의 산업분야 이용에 관한 것을 다루고, 생명체(미생물,동식물 세포)를 이용하여 산업화할 수 있는 생물기술에 관해 강의한다."
전공필수,CHBE207,물리화학,2,1.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Lectures deal with fundamental knowledges of physical chemistry which offer foundations for analysis and design of chemical and biological engineering. Students will learn phases and structure of pure, mixed, and complex materials, and acquire principles ","화공생명공정의 해석과 설계에 기반이 되는 물리화학 지식을 학습한다. 순수 물질의 상태와 구조를 학습하고 혼합 물질과 복잡 물질의 상태를 이해하며, 물질이 변화하는 메카니즘을 파악한다."
전공필수,CHBE211,공학수학I,2,1.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Derivation and solution of ordinary differential equations, Laplace transform, eigenvalue problems, vector calculus and their applications to engineering problems. ","공학적인 문제의 해석에 필요한 기본적인 수학지식을 습득함을 목적으로 한다. 상미분방정식의 설정과 해법, 라플라스 변환, 고유치문제, 벡터미적분과 이의 공학적인 문제에의 응용에 대하여 다룬다. "
전공필수,CHBE210,유체역학,2,2.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Principles of fluid mechanics and their applications to chemical and biological engineering problems. Laminar flow, turbulent flow, multiphase flow, flow through porous media, flow in living bodies, boundary layer, flow of complex fluid and microfluidics ","유체역학의 원리와 이의 화공생명공학에의 응용방법을 습득함을 목적으로 한다. 층류, 난류, 다상유동, 다공질매체 내의 유동, 생명계에서의 유동, 경계층, 구조적으로 복잡한 유체의 유동, 미세유로 유동 등 다양한 유동현상의 물리적인 이해와 함께 이러한 현상을 설명할  "
전공필수,CHBE222,화공생명공학입문,1,2.0,,,,,2,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,This class is a introductory course of the chemical and biological engineering. Many necessities in our common life are analyzed and produced by the principles of the chemical and biological engineering. The subjects dealt in this class are concept of phy,"이 과목은 화공생명공정이 일상생활 및 산업에서 응용되는 범위를 설명하고 연관된 제품이나 그의 생산공정에 대해 공학적인 기초해석을 위한 방법론을 배운다. 각 공정의 해석은 물질수지 및 에너지 수지의 분석을 통해 이루어지는데 이에 필요한 공정의 변수에 대한 이해, "
전공필수,CHBE223,유기화학Ⅰ,2,1.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Introduction to organic chemistry for students to improve their understanding of nomenclature, properties, reaction mechanisms, and the structural determination of organic molecules.","유기화학의 기본개념, 명명법, 반응 메커니즘 등 유기화학의 기본적인 내용을 다룬다."
전공필수,CHBE224,화공열역학,2,2.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Based on fundamental concepts of thermodynamics, basic relations and their applications for the pure and mixture properties are instructed for the purpose of chemical process designs. Prediction methods for reactive chemical process equilibrium are discus",화학공정의 설계에 필요한 열역학의 기본개념을 기반하여 순수성분과 혼합물의 공정물성계산에 필요한 기본 식들과 그 응용방법을 학습한다. 반응 및 혼합 평형을 계산하는 방법을 익힌다.
전공필수,CHBE323,열및물질전달,3,1.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"This course covers principles of heat and mass transfer and their applications to design, manufacture and operation of chemical & biological engineering processes.","열 및 물질전달 형상의 기본원리를 익히고 이를 화공 및 생명공정의 설계, 제작 및 운전에 응용하는 기술을 다룬다."
전공필수,CHBE327,반응공학,3,1.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Fundamental course for understanding chemical and biological reaction and reactor design. Reaction kinetics, characteristics and design of ideal reactors, single and multiple reactions, temperature and pressure effects, catalysis and enzyme, and nonideal ","화학·생물반응을 이해하고 반응기 설계 능력을 기르기 위한 기초과정으로, 반응 속도론, 이상형반응기의 종류와 반응기 설계, 단일 반응과 다중 반응, 온도와 압력 효과, 그리고 촉매 및 효소 반응과 비이상 유체에 대한 내용을 다룬다. "
전공필수,CHBE345,화공생명공학연구방법및동향,3,1.0,,,,,1,2,글로벌 시대에 맞는 다양성,공과대학,화공생명공학과,화공생명공학과,,,5,Methodology and trends in education and research of chemical and biological engineering are presented. Students are encouraged to envision professional career objectives and to cultivate their occupational ethics.,"화공생명공학의 연구방법론 및 최신 연구교육 동향을 소개하고, 이를 바탕으로 전공분야 비젼을 구축하고 직업윤리를 배양한다."
전공필수,CHBE372,화공생명공학실험Ⅰ,3,2.0,,,,,2,4,사회적 책임감을 갖춘 윤리적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"This course covers basic experimental techniques such as safety issues, report writing, data analysis and analytical methods. The basic experimental techniques learned in this course are applied to a few experiments on thermodynamics, fluid mechanics, bio","화공생명공학 분야의 연구에 필요한 실험실 안전, 보고서 작성법, 데이터 처리 방법, 분석 기기의 사용 방법 등을 익히고, 이 기법들을 열역학/유체역학/생물공정/고분자 소재공정 등의 실험에 적용하여 연구 능력을 배양한다."
전공필수,CHBE471,화공생명공학실험Ⅱ,4,1.0,,,,,2,4,사회적 책임감을 갖춘 윤리적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"This course is designed for comprehensive understanding of core subjects in chemical and biological engineering such as heat and mass transfer, biological process, catalytic reaction and process simulations in practical aspects. Through several experiment","화공생명공학 분야의 핵심 교과목의 이해를 위하여 물질전달/생물공정/촉매 반응/공정제어/공정 시뮬레이션 실험 등을 수행하며, 보고서 작성, 실험 결과의 해석, 발표 능력 등을 연습한다. "
전공선택,CHBE226,공학수학II,2,2.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Covers Fourier series and transform, 1st and 2nd order partial differential equations, complex variables and various approximation methods with applications to selected problems in chemical and biological engineering problems.","화공생명공학과의 전공과정에서 필요한 전문적인 수학적 지식을 습득함을 목적으로 한다. 푸리에급수 및 변환, 1차 및 2차 편미분방정식, 복소수함수 및 다양한 근사해법을 이용하여 화공 및 생명공학문제를 해석적으로 해결하는 방법을 다룬다."
전공선택,CHBE232,유기화학Ⅱ,2,2.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Based on the principles of organic chemistry, the characteristics of more complex organic compounds including polymers and biomolecules will be explained. Also, the analytical and separation methods to identify the compounds will also be discussed.","유기화학의 원리에 기초하여 고분자, 생체분자 등 더욱 복잡한 화합물의 특성을 이해한다. 또한 유기화합물의 분석에 필요한 분광학, 질량분석법, chromatography 등 분석방법에 대해 이해한다."
전공선택,CHBE308,반도체화학공정,4,1.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"Chemical processes of microelectronic fabrication from raw materials to final products. Materials and processes including wafer manufacturing, lithography, etching, thin film deposition, planarization, etc.","반도체를 비롯한 미세전자재료의 원료부터 제품 생산까지의 전 제조공정을 화학공학적 관점에서 다룬다. 웨이퍼 제작, 리쏘그라피, 식각, 박막도포, 평탄화 등의 공정 및 소재에 대한 내용을 중점적으로 다룬다. "
전공선택,CHBE310,분리공정,3,2.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"This course covers the principles of separation for mixtures, multistage separation processes and application of theory to the design of unit separation processes such as distillation, absorption, adsorption, extraction, membrane separation, crystallizati","혼합물을 분리하기 위한 원리와 증류, 흡수, 흡착, 추출, 여과, 막분리, 결정화, 크로마토그래피 등의 단위분리 공정기술의 이론과 설계기법을 다룬다. "
전공선택,CHBE312,석유공업화학,3,2.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"This course will teach natural gases, raw materials of organic industrial chemistry such as ethylene, propylene, n-alkane, benzene, and xylene. Also, this course includes petroleum refinery, petroleum engineering, polymer engineering, and fine industrial ","유기공업화학의 원료로서 천연가스, 에틸렌, 프로필렌, n-알칸, 벤젠, 톨루엔, 그리고 자일렌 등을 이용하여 얻을 수 있는 화합물에 관하여 강의하며, 석유정제공업, 석유화학공업, 고분자공업, 정밀화학공업에 관하여 강의한다."
전공선택,CHBE317,지식경영Ⅰ,3,1.0,,,,,2,2,글로벌 시대에 맞는 다양성,공과대학,화공생명공학과,화공생명공학과,,,2,Professional management skills as well as vivid scene of the industries are learned through the lecture of CEOs.,CEO들의 강의를 통해 산업체의 현장감을 학생들이 느끼게 하고 경영지식을 습득하게 한다.
전공선택,CHBE318,지식경영Ⅱ,3,2.0,,,,,2,2,글로벌 시대에 맞는 다양성,공과대학,화공생명공학과,화공생명공학과,,,2,Professional management skills as well as vivid scene of the industries are learned through the lecture of CEOs.,CEO들의 강의를 통해 산업체의 현장감을 학생들이 느끼게 하고 경영지식을 습득하게 한다
전공선택,CHBE319,양자및표면화학,2,2.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"  Lectures focus on properties of molecules which are essential to current and future development of fine and miniaturized chemical and biological processes. The course deals with quantum mechanical perspectives on state, structure, and energy of atoms an","  초정밀 화공생명공정 개발에 필수적인 분자의 성질에 관하여 학습한다. 물질을 구성하는 기본 단위인 원자 및 분자들의 상태와  구조 및 에너지를 양자 화학적 관점에서 이해하고 양자 정보를 활용하여 물질의 특성을 파악한다. 원자, 분자, 및 이온을 포함한 입자 상호작 "
전공선택,CHBE320,공정제어,3,2.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"The subjects dealt in this class are the role of process control in process operation, the basic hardware and instrumentation for process control, the mathematical modeling of processes using unsteady-state mass and energy balances, various simple empiric","이 과목은 화학공정의 해석과 제어시스템의 설계에 필요한 기본적 도구와 이론을 배운다. 이 과목에서 다루는 내용은 공정조업에서 제어의 역할, Instrumentation 기초, 물질 및 에너지 수지를 이용한 수학적모델링, 제어기 설계에 이용되는 경험적 모델링, Laplace 변환을  "
전공선택,CHBE321,생물공정공학,3,2.0,,,,,3,3,국가적 발전을 위한 전문적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"  Understanding of microbiology, microbial genetics, enzyme kinetics, cell kinetics, and reaction engineering for the application of engineering principles to design and analyze processes using biocatalysts.","  기초 미생물학, 유전자공학, 효소반응속도론 및 생물반응기의 해석, 효소 및 세포의 고정화 등 생물공정의 기본적 사항드을 다룬다."
전공선택,CHBE328,촉매반응공학,3,2.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,1,"  Characteristics, models, and designs of non-ideal flow reactors for chemical and biologocal systems. Kinetics for solid-catalyzed reaction and design of catalytic reactors.","  비이상형 반응기 특성 및 모델, 각종 화학, 생물반응계에 대한 특성과 반응기 설계, 촉매반응속도론 및 반응기 특성, 그리고 촉매활성감퇴, 속도론을 익힌다."
전공선택,CHBE329,수치해석,3,1.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"In this course, we explore various numerical methods for solving linear and non-linear systems in chemical engineering. Key topics include error analysis, matrix algebra, non-linear algebraic equations, regression and optimization techniques, differentiat","화학공학에서 다루는 선형/비선형 시스템에서의 해를 계산하기 위한 다양한 수치 해석 방법론을 다룬다._x000D_
그 내용으로는 오차분석, 행렬, 비선형 대수식 및 연립방정식, 회귀 및 최적화 기법, 미분식과 적분식, 상미분 방정식에 대한 수치 해법을 배우며 관련 예제를 통하여 "
전공선택,CHBE339,미생물생명공학,3,1.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,4,"Microorganisms are the most versatile and adaptable forms of life on Earth. This course helps students to understand basic science and technological uses of microoragnisms. Using bacteria as a model microorganism, biodiversity, cellular structure, biosynt","생명체의 기본 모델인 박테리아를 포함한 미생물을 대상으로 생명체 및 생명현상에 대한 종합적인 지식을 전달한다. 특히, 박테리아의 구성 체계(분류, 형태 및 구조, 주요 생체물질 특성 및 기능), 단백질/에너지 합성, 대사체계, 생리/성장/배양 특성 및 기능적 상호연계성"
전공선택,CHBE342,화공재료과학,3,1.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,5,"The structural, chemical, physical, electrical, and optical properties of metallic, semiconducting, ceramic, and polymer materials are understood and the analysis techniques are introduced. In particular, manipulation and application of materials properti","금속, 반도체, 세라믹, 고분자 재료의 물성을 이해하고, 구조, 화학적, 물리적, 전기적, 광학적 특성을 비교 분석할 수 있는 방법을 소개한다. 다양한 종류의 재료 응용과 재료의 크기 변환에 따른 물성의 제어와 응용 분야에 대해 강의한다."
전공선택,CHBE343,응용생화학,3,1.0,,,,,3,3,세계적 기술 선도를 위한 창의적 사고,공과대학,화공생명공학과,화공생명공학과,,,3,"This course is for understanding biomolecules in the cell and its energy production. The structures and functions of protein, enzyme mechanism, metabolic pathway, metabolic regulation, molecular mechanisms of energy generation are covered in the course.","세포를 구성하는 생물분자들의 기본특성과 에너지 생산에 관해 이해한다. 단백질의 구조, 기능 및 효소 기작 등을 이해하고, 또한 대사경로, 대사조절, 에너지 생산에 필요한 생체기작을 습득한다."
